ticker,n,r2_rive,r2_garch_n,rive_beats,diff
AAPL,538,0.1852351296417427,-0.05339138638202123,True,0.23862651602376395
ABBV,512,0.04618276689695455,-0.15045866288190513,True,0.19664142977885968
AEP,507,-0.022724914774861826,-0.11297410185785695,True,0.09024918708299512
AMT,506,0.024268364415482302,-0.1317778771569844,True,0.15604624157246672
AMZN,538,0.2355425917081102,-0.20691864189111886,True,0.44246123359922906
AVGO,523,0.22466170648671668,-0.0518817654667576,True,0.2765434719534743
BAC,535,0.22793225538714879,-0.09234384666208806,True,0.32027610204923684
BKNG,503,0.048788004377252725,-0.35133902835977815,True,0.4001270327370309
BRK.B,530,0.07205938597494843,-0.047913162990702585,True,0.11997254896565102
CAT,517,0.06088278261059421,-0.11452359031986625,True,0.17540637293046046
CEG,505,0.25346142552472384,0.22663417388204254,True,0.026827251642681293
COP,516,0.08211524670779502,-0.05718640068815284,True,0.13930164739594786
COST,522,0.06938864543930134,-0.07175861354949964,True,0.14114725898880098
CVX,530,0.11341417717587077,-0.08387489237392365,True,0.19728906954979442
DUK,507,0.04587607565676621,-0.08491238406460777,True,0.13078845972137398
ECL,502,0.014210760331892947,-0.7961487680057031,True,0.8103595283375961
EOG,515,0.09234345636929986,-0.09225655971774116,True,0.18460001608704102
EQIX,501,-0.1025723202519786,-0.21625261329426926,True,0.11368029304229066
FCX,530,0.17805579442686137,-0.04881578437980716,True,0.22687157880666853
GE,520,0.11296398523292495,-0.10358699633803181,True,0.21655098157095676
GOOG,538,0.20385460617782025,-0.16816003857746264,True,0.3720146447552829
GOOGL,538,0.21673936538231864,-0.16321736936190523,True,0.37995673474422387
HD,516,0.12436934699200697,-0.10782046294286363,True,0.2321898099348706
JNJ,524,0.12480192784778166,-0.008521813009990664,True,0.13332374085777232
JPM,532,0.16731749981064448,-0.06873049564510891,True,0.2360479954557534
KO,533,0.10639137984119673,-0.03197779360230579,True,0.13836917344350252
LIN,504,-0.0055599604114795476,0.00016696638349467108,False,-0.005726926794974219
LLY,528,0.15019433888409817,-0.05178106656044035,True,0.2019754054445385
MA,507,0.040604733831646644,-0.10083949575927487,True,0.1414442295909215
MCD,512,0.051609104978910025,-0.014270606805418584,True,0.06587971178432861
META,538,0.23539798588000393,-20.12259479860738,True,20.357992784487383
MRK,521,0.11548237695808294,-0.003477290070631911,True,0.11895966702871485
MSFT,538,0.20269614714623452,-0.06101100615710697,True,0.2637071533033415
NEE,517,0.13035241037556955,-0.0514452958450613,True,0.18179770622063085
NEM,535,0.20367860169802798,-0.0684613591520915,True,0.2721399608501195
NFLX,532,0.19371033375434,-0.2770021518339185,True,0.4707124855882585
NVDA,538,0.23145951848612345,-0.2632546118737136,True,0.494714130359837
ORCL,525,0.18671900834858746,-0.1256561431237493,True,0.31237515147233674
PEP,517,0.0682416915026487,-0.0059014204995375685,True,0.07414311200218626
PG,509,0.025494958131131784,-0.06632544178778677,True,0.09182039991891855
PLD,506,0.04660330806763924,-0.1386481227962577,True,0.18525143086389695
RTX,522,0.09542801687886271,-0.0710226595427561,True,0.16645067642161882
SHW,503,-0.05665078555635894,-0.16073878285594834,True,0.1040879972995894
SO,507,-0.019514406428267073,-0.15251505122134268,True,0.1330006447930756
SPG,506,0.043277839825814124,-0.06244832317679938,True,0.1057261630026135
TMUS,505,-0.0009392384544242294,-0.12659448546411678,True,0.12565524700969255
TSLA,538,0.166390679824981,-0.25466836200189813,True,0.42105904182687914
UBER,538,0.1989061731595293,-0.09425549682824652,True,0.2931616699877758
UNH,512,0.028288439913580543,-0.053599781422973836,True,0.08188822133655438
UNP,503,-0.04005833830583905,-0.13985231028852785,True,0.0997939719826888
V,513,0.13864148427213352,-0.033387047444539686,True,0.1720285317166732
WELL,502,-0.017123152144620457,-0.13926255032601986,True,0.1221393981813994
WMB,507,-0.06407633099686638,-0.025185045975229414,False,-0.03889128502163697
WMT,533,0.1352136013375358,-0.10316303801136639,True,0.2383766393489022
XOM,536,0.1451047453648423,-0.08264033555051631,True,0.2277450809153586
