Model,R2,MAE,N
"GARCH(1,1)-N",-0.4967999821415463,0.8677810669975157,28590
"GARCH(1,1)-t",-0.12438002355429978,0.8011290751786869,28590
GJR-GARCH,-0.4842258226376761,0.8574264994054125,28590
EWMA,0.03740310572775052,0.7523286238330517,28590
HAR-RV-X (5feat),0.09622861810621097,0.7485114474974889,27507
RIVE (10feat),0.23038547166510803,0.6926471096341306,28590
