sector,tickers,n_train,n_test,r2_RIVE,rmse_RIVE,r2_LightGBM,rmse_LightGBM,r2_ElasticNet,rmse_ElasticNet
Consumer,"['WMT', 'MCD', 'COST']",26724,1567,0.1042559311615282,1.297127368344407,0.049349735347348433,1.3362909858765935,0.11752739216965735,1.2874823052228566
Energy,"['XOM', 'CVX', 'SLB']",27226,1066,0.14637866126058374,1.4475193303173985,0.13788028120494156,1.4547070039958354,0.17245703527605016,1.4252367625320201
Finance,"['JPM', 'BAC', 'V']",26692,1580,0.19697938554286176,1.2527284772082556,0.18169713396344067,1.2645926083069148,0.22726243198090146,1.2288803963879353
Healthcare,"['JNJ', 'PFE', 'UNH']",27257,1036,0.09024677099057077,1.527392623952667,0.09006056705029797,1.5275489256642751,0.10496391571800379,1.5149878800228214
Industrial,"['CAT', 'GE', 'BA']",27238,1037,0.10119447394302417,1.475295525640951,0.09550434492291493,1.4799580346210985,0.1049830668888374,1.4721829521071417
Tech,"['AAPL', 'MSFT', 'NVDA']",26678,1614,0.29907371871436383,1.4705938131740464,0.34220765958525834,1.4246263357947404,0.3335908563257626,1.4339269794547858
