Model,alpha,beta,R2,F_stat,p_value,verdict
RIVE (Ridge coord.),0.9963435694985332,1.1140761279215095,0.23055988299372132,45.955511528208724,1.1102230246251565e-16,REJECT H0
Monolithic LightGBM,0.13642214799921248,1.0298999906662993,0.24046298720928805,142.72284083329282,1.1102230246251565e-16,REJECT H0
Elastic Net,0.4667597812741704,1.0449611455697545,0.23913018663198482,64.4990782936255,1.1102230246251565e-16,REJECT H0
