label,threshold_pct,n_tail,n_normal,precision,recall,f1,roc_auc,pr_auc,severe_underpred_rate,r2_tail,r2_normal
RIVE,90,2859,25731,0.4309199020636586,0.4309199020636586,0.4309199020636586,0.8050673575719757,0.4119249226462467,0.14865337530605108,-5.407188815280415,0.16303273996472767
LightGBM,90,2859,25731,0.4669464847848898,0.4669464847848898,0.4669464847848898,0.8034910901633576,0.4556212239352698,0.15634837355718784,-4.547615634184453,0.1468312129930781
ElasticNet,90,2859,25731,0.434767401189227,0.434767401189227,0.434767401189227,0.8003563083707999,0.42107575669242003,0.1608954179783141,-5.632392182150001,0.17881224102776205
RIVE,80,5718,22872,0.5367261280167891,0.5367261280167891,0.5367261280167891,0.7994127728309234,0.5684912684003627,0.180132913606156,-2.9909844108592147,0.10090845024383732
LightGBM,80,5718,22872,0.5577124868835257,0.5577124868835257,0.5577124868835257,0.8016086391519524,0.6087847471737491,0.17785939139559287,-2.4891535751820726,0.07758805705487704
ElasticNet,80,5718,22872,0.5346274921301154,0.5346274921301154,0.5346274921301154,0.7919882397358121,0.5722157191802841,0.19342427422175587,-3.2563787134692657,0.12823674732871893
