sector,r2,n
Comm Services,0.2083764782779629,2651
Consumer Disc,0.30024522427444955,2607
Consumer Staples,0.10061586748638185,2614
Energy,0.13432028770492332,2604
Financials,0.1710212382830516,2617
Health Care,0.1356916423079001,2597
Industrials,0.16713728114851745,2600
Info Tech,0.28394141037295895,2662
Materials,0.26071962659433134,2574
Real Estate,0.025962710622739693,2521
Utilities,0.22844105396005,2543
