configuration,features,alpha,r2_pct,rmse,n,interpretation
HAR-RV-X baseline,tech_pred,1.0,3.9,1.349,28590,Technical dynamics only
HAR-RV-X + News,"tech_pred, news_risk_score",1.0,3.8,1.349,28590,Linear news augmentation
HAR-RV-X + Retail,"tech_pred, retail_risk_score",1.0,5.2,1.339,28590,Linear attention proxy
HAR-RV-X + News + Retail (linear),"tech_pred, news_risk_score, retail_risk_score",1.0,4.8,1.342,28590,"All signals, no regime logic"
RIVE (full),"tech_pred, news_risk_score, retail_risk_score, is_friday, is_monday, is_q4, vol_ma5, vol_ma10, vol_std5, news_x_retail",100.0,23.0,1.207,28590,Regime-aware ensemble
RIVE without News Agent,"tech_pred, retail_risk_score, is_friday, is_monday, is_q4, vol_ma5, vol_ma10, vol_std5",100.0,23.6,1.202,28590,No news-driven tail detection
RIVE without Retail Agent,"tech_pred, news_risk_score, is_friday, is_monday, is_q4, vol_ma5, vol_ma10, vol_std5",100.0,22.7,1.21,28590,No attention regime detection
News + Retail only (no HAR),"news_risk_score, retail_risk_score, news_x_retail",100.0,-9.6,1.44,28590,No volatility memory
