alpha,method,marginal,cov_calm,cov_stress,cov_stress_upper
0.05,aci,0.9486496202056829,0.9470896616220202,0.9037142663135737,0.9306036531540708
0.05,rc_adaptive,0.948891582865596,0.9498837236075615,0.9311468730902425,0.9616350920078767
0.1,aci,0.8990679670323946,0.8971737390631884,0.8400896312894683,0.8912881102736471
0.1,rc_adaptive,0.8990595410389375,0.8999055973843568,0.8828002987709649,0.9392951721328173
0.2,aci,0.7995868629718775,0.7975532115784079,0.7342296462280166,0.8345216269437088
0.2,rc_adaptive,0.7994648836575896,0.8000828901015403,0.7847491002919808,0.890541182861411
