regime,n,cov_k4,cov_k1,cov_diff,cov_t,cov_p,is_k4,is_k1,is_diff,is_t,is_p
calm,213087,0.8999281983415225,0.900261395580209,-0.0002955933717949679,-0.5039988673389146,0.6142621729249433,2.2888536805174056,2.286017334759121,0.0028240836662252094,1.2435852203915274,0.21365225845885183
normal,90836,0.899753401734995,0.9005570478664846,-0.0009477587240239604,-0.5938595379632585,0.5526060636213408,2.2698280903596877,2.2646616165772597,0.004676074578153781,0.6804175826552571,0.49624009103725886
elevated,47553,0.8998380754105945,0.9056841839631569,-0.00565360903498546,-1.6951556143190196,0.09004590441588678,2.244822227205936,2.2500408935629452,-0.004891886370347463,-0.23266163361859504,0.8160241636024079
stress,14093,0.8827786844532747,0.8746895621939971,0.006736159748342878,0.6225915060246968,0.5335529943524304,3.2563158586031493,3.2984478688601655,-0.03842943848179428,-0.4961999680927118,0.6197533335184702
