method,slice,n_stocks,q05,q10,q25,median,q75,share_below_85
aci,marginal,136,0.8845944360650243,0.8914765003103955,0.896889136889934,0.8983789893637697,0.9000615006150061,0.0
aci,stress,107,0.7572022572022572,0.78,0.8075886524822695,0.8389261744966443,0.8592177013422819,0.7009345794392523
rc_adaptive,marginal,136,0.8831743081592963,0.8853872376977123,0.8929232079834489,0.8986154408957883,0.905614118055549,0.0
rc_adaptive,stress,107,0.8341530054644809,0.8464615384615385,0.86,0.88,0.9,0.14018691588785046
