arm,eff_eta_stress
rc_std,0.01009960279093162
rc_exp,0.020934332236756326
pooled_k1_exp,0.032614171150690256
pooled_avg_exp,0.24422898001062454
ps_k4_std,0.02919853743527389
ps_k4_exp,0.17459391513858777
ps_k1_exp,0.1362655710048039
dtaci_exp,
