dse,n,n_dates,cov_k4,cov_k1,diff,se,ci_lo,ci_hi,p
1,2861,31,0.8552953512757777,0.8615868577420482,-0.011305613120497594,0.0320130774729912,-0.07405124496756034,0.05144001872656516,0.7239714281725562
2,1324,15,0.7938066465256798,0.7341389728096677,0.0533118029514477,0.046651833522773,-0.03812579075318739,0.14474939665608277,0.2531386630396224
3,835,12,0.918562874251497,0.895808383233533,0.016347580524782378,0.018976717421054935,-0.020846785620485295,0.05354194667005005,0.3889877152225498
4-5,1668,21,0.9112709832134293,0.9106714628297362,-0.00012988253091034344,0.015894936237870885,-0.031283957557137275,0.03102419249531659,0.9934803064735787
6-10,2965,33,0.8873524451939292,0.8671163575042159,0.01959882021408249,0.023371180371859774,-0.026208693314762666,0.06540633374292765,0.401699854920619
>10,4440,47,0.9065315315315315,0.9126126126126126,-0.006060798419456862,0.004269359419322073,-0.014428742881328126,0.0023071460424144022,0.15572308825211234
