baseline,b0_calm,b1_stress,hac_se,hac_t,cluster_se,cluster_t,wild_cluster_p
aci,-0.0018745148987939942,0.05242514132308372,0.01747282815608428,3.000380983248471,0.02502376190848688,2.095014391313545,0.12961296129612962
cpid,-0.0022858096718223033,0.0456745935388213,0.01723013656566643,2.6508549926316087,0.02461817066110277,1.8553203715899216,0.20262026202620262
dtaci,-0.0015163404495724421,0.04533607078102714,0.016316375028818525,2.7785626832524417,0.022024182567803755,2.0584678065329003,0.1623162316231623
har_qreg,0.006721411430271682,0.05790230866979441,0.026445096072912205,2.189529147867378,0.035981169226638805,1.6092392191337184,0.29392939293929393
knn_state,0.002869501256282552,0.04743998688339007,0.019193726152236447,2.4716402905364148,0.02985091323907741,1.5892306712173567,0.3428342834283428
pogo,0.03844990704874042,0.07161530526159848,0.013166169373893354,5.439342547392826,0.01816891975510219,3.9416380405052696,0.00010001000100010001
pooled_k1,-0.0013781590277838075,0.008260982813402078,0.010902857189332801,0.757689720221641,0.012667882028474685,0.6521202829986228,0.5314531453145315
rc_hand,0.0016294620575524287,-0.0022296169419761904,0.004189102945073724,-0.5322420984182692,0.003927602766902758,-0.5676788296323636,0.5963596359635963
rkr,-0.0008491354465354187,0.035582434114524844,0.012943551729916566,2.749047159311211,0.019116981795900316,1.8612997854167328,0.1566156615661566
sfogd,-0.0019644610976465413,0.04152148477826446,0.0156768890294025,2.6485793642086515,0.021134000189349758,1.9646770325661653,0.18001800180018002
tcp_rm,-0.0017976259825600081,0.032591823561612054,0.014076442109729678,2.3153452632099762,0.01847478923499586,1.764124242341829,0.24542454245424541
xs_panel,-0.00359207045094688,0.05691263684236077,0.014527559483747777,3.917563504457158,0.013552868308345878,4.199305678142971,0.006400640064006401
