regime,N_k,n_bar,prop2_bound,prop1_eta,prop1_bound
calm,230278,100,0.0664414316608621,0.001,0.10465611130893963
normal,99752,100,0.15338038335070978,0.0015,0.16140027267623705
elevated,49590,100,0.308529945553539,0.003,0.16333938294010888
stress,14593,100,1.0484478859727266,0.01,0.17131501404783114
