experiment,method,marginal,width,width_stress,cov_stress_upper,cov_calm,cov_normal,cov_elevated,cov_stress,rate,rate_calm,rate_stress
two_sided_0.10,hand_tuned,0.8963011818487682,1.6754558773945647,2.1698446794957067,0.9376655123243023,0.8969629987796736,0.8962722678999657,0.897415054462689,0.8830040062470292,,,
two_sided_0.10,adaptive,0.8990595410389375,1.7116827214396093,2.2485227365429945,0.9392951721328173,0.8999055973843568,0.8996445700582392,0.899081450170704,0.8828002987709649,,,
var_0.05,hand_tuned,,,,,,,,,0.05150598341392258,0.05107090988564741,0.05630554236483278
var_0.05,adaptive,,,,,,,,,0.050109403279397065,0.0499616944675531,0.057051760396173934
var_0.01,hand_tuned,,,,,,,,,0.01191010021880656,0.011374158100797602,0.017095176717997422
var_0.01,adaptive,,,,,,,,,0.010753937167400524,0.010170941376085128,0.018587612780679736
