model,qlike,rmse_log
har,0.19233303286038952,0.5316573986732865
lgbm,0.1897524608035031,0.5292375168511712
pool,0.19176211871146118,0.5312809772800254
dm_pool_vs_har,-1.9228918439483436,0.054493634273936165
dm_pool_vs_lgbm,0.7252876215657228,0.468275598081751
dm_lgbm_vs_har,-0.9049251175862513,0.3655050593286635
