dropped,cov_day2,n
none,0.7931818181818182,1320
7,0.7837837837837838,1221
8,0.7795918367346939,1225
9,0.7864157119476268,1222
10,0.847864768683274,1124
11,0.7758620689655172,1044
13,0.7834803528468324,1247
15,0.7638146167557932,1122
16,0.792962356792144,1222
18,0.7781402936378466,1226
22,0.8394458027709861,1227
