arm,marginal,cov_calm,cov_stress,cov_stress_upper,width,width_stress
rc_std,0.8992119134828171,0.8999662728712092,0.8827786844532747,0.9390477542042148,1.7149692000596637,2.3261786515025835
rc_exp,0.8993377447212427,0.9000412220462999,0.882707727240474,0.9376286099482012,1.719168718372431,2.3472536612330948
pooled_k1_exp,0.900100938536911,0.9002239106605833,0.8720641453203718,0.9369899950329951,1.7167647647231836,2.2527924357871605
pooled_avg_exp,0.8903599594057483,0.8914220669108761,0.8497126232881572,0.9092457248279288,1.6323163937185032,1.9112512211184052
ps_k4_std,0.881015455059291,0.8841680744480358,0.7996049165935031,0.8759145449224466,1.6051711355050902,1.698895023730571
ps_k4_exp,0.8855885996814213,0.8873709804993799,0.8366256950541411,0.905033655253146,1.6361455220713585,1.87769678283932
ps_k1_exp,0.8906641621896285,0.8872245061372758,0.8429177641205736,0.9070090722856307,1.6602502849429175,1.8985820417003543
dtaci_exp,0.9001285086596706,0.8984478165709403,0.8548100816471423,0.9172878949236777,1.7090054688114662,2.010691167758991
