episode,window,aci_cov,aci_cov_up,n,rc_adaptive_cov,rc_adaptive_cov_up
2011 US downgrade,2011-08-01..2011-10-31,0.8616938616938616,0.9185703185703186,6435,0.887956487956488,0.9361305361305361
2015 CNY deval,2015-08-15..2015-09-30,0.8813775510204082,0.9116709183673469,3136,0.8781887755102041,0.9180484693877551
2018 Volmageddon,2018-02-01..2018-02-28,0.8470588235294118,0.8773993808049536,1615,0.8557275541795666,0.9058823529411765
2018 Q4 selloff,2018-12-01..2018-12-31,0.907277628032345,0.9180592991913746,1855,0.9412398921832884,0.9654986522911051
2020 COVID,2020-02-15..2020-04-30,0.7859490550534101,0.8794165981922761,4868,0.878594905505341,0.9496713229252259
2022 bear market,2022-01-01..2022-10-31,0.918623730899395,0.9538508870885037,19511,0.9013889600738045,0.9441853313515453
2024 yen unwind,2024-08-01..2024-08-31,0.8466117216117216,0.9496336996336996,2184,0.8489010989010989,0.9587912087912088
2025 tariff shock,2025-04-01..2025-04-30,0.7647663071391885,0.8967642526964561,1947,0.861838726245506,0.9106317411402157
