definition,n,n_dates,cov_rc,se_rc,cov_aci,gap,t,p
vix_pctl>.95 (canonical),14085,150,0.8817314893836963,0.018370624366425347,0.8297283630548066,0.05200312632888988,3.1269032333564026,0.0017665806237889825
VIX>=30 (absolute),21979,230,0.8929043194612548,0.013197978074615348,0.8656199913721556,0.027284328089099273,2.430743516327387,0.015067876761606591
VIX>=25 (absolute),45468,475,0.8892575891253873,0.008384935001893983,0.8841471087935278,0.005110480331859743,0.743239720286018,0.45733655943493057
mkt RV pctl>.95,15670,168,0.8748365107404478,0.014380577154535081,0.8338832324023997,0.04095327833804807,2.96289792232801,0.0030475761545849522
credit spread pctl>.95,19208,200,0.8901095132040298,0.011597097750333466,0.8832855207154526,0.006823992488577076,0.9893513661372203,0.322491260529016
named crisis windows,41542,436,0.8902274940061816,0.008875598913201306,0.8768511879115242,0.013376306094657597,1.8748524364053722,0.06081302703936875
