dse,n,n_dates,coverage,se,ci_lo,ci_hi
1,2846,30,0.8504886323092874,0.040860347080932134,0.7704023520306604,0.9305749125879144
2,1320,14,0.7965814667765424,0.0724227262424182,0.6546329233414028,0.938530010211682
3,834,9,0.9186287341746512,0.04482297555869818,0.8307757020796027,1.0064817662696997
4-5,1658,18,0.9086609175157814,0.022903994646396617,0.863769088008844,0.9535527470227187
6-10,2991,32,0.8859165847719264,0.025209266700206765,0.8365064220395211,0.9353267475043316
>10,4444,47,0.9067273019694304,0.031086995398410658,0.8457967909885455,0.9676578129503153
