method,period,marginal,cov_stress,cov_stress_upper,width,n,n_stress
aci,2010-2017,0.8976529560317884,0.8956583884223691,0.9265678041808112,1.6620503755274603,183337,5597
aci,2018-2025,0.8993454507523405,0.7877002827521207,0.8805372290292177,1.716163368855387,191735,8488
pooled_k1,2010-2017,0.8996064124843198,0.8933095450490633,0.9443354148082069,1.6911567967813823,173786,5605
pooled_k1,2018-2025,0.9004604161995589,0.8623939679547596,0.9383836003770029,1.7374520743264688,191783,8488
rc_adaptive,2010-2017,0.8982023868435892,0.8826048171275647,0.9316681534344335,1.6863151157974856,173786,5605
rc_adaptive,2018-2025,0.9001267057038423,0.8828934967012253,0.9439208294062206,1.7409343726119069,191783,8488
