dse_bin,bins_k4,hmm_filtered,hmm_oracle
1,0.8552953512757777,0.8409646976581615,0.8682278923453338
2,0.7938066465256798,0.7560422960725075,0.7605740181268882
3,0.918562874251497,0.8778443113772455,0.8934131736526946
4-5,0.9112709832134293,0.907673860911271,0.9046762589928058
6-10,0.8873524451939292,0.8870151770657673,0.8745362563237774
>10,0.9065315315315315,0.9171171171171171,0.9117117117117117
