state_bin,coverage,upper_coverage,lower_coverage,n,mean_width
calm,0.8968642077635033,0.9476400976193765,0.9492241101441268,217170,1.66293459646247
normal,0.8961759164097294,0.9465142171976705,0.9496616992120589,93408,1.6483170527219968
elevated,0.8974556982604455,0.9481181921638758,0.9493375060965696,49208,1.6342063830052103
stress,0.8783866367895702,0.9355605350716372,0.942826101717933,14727,2.109365089401111
