dse_bin,K=1,K=4
1,0.8615868577420482,0.8552953512757777
2,0.7341389728096677,0.7938066465256798
3,0.895808383233533,0.918562874251497
4-5,0.9106714628297362,0.9112709832134293
6-10,0.8671163575042159,0.8873524451939292
>10,0.9126126126126126,0.9065315315315315
