method,marginal,width,cov_calm,width_calm,cov_normal,width_normal,cov_elevated,width_elevated,cov_stress,width_stress,cov_stress_upper
aci,0.8989755331369316,1.697851889176342,0.8969873532677843,1.677312788952847,0.9048938419070488,1.7038710629403542,0.9142225467526672,1.7486582419839487,0.8387994839410606,1.7981489118803617,0.8916276227337543
dtaci,0.899710086036462,1.6976670880144564,0.8973919767656195,1.6786891930260772,0.9052427423575409,1.6984759638207512,0.9135937690154557,1.7314423633125404,0.851633054933116,1.865876597295121,0.9045969987098527
sfogd,0.8981602315144033,1.7345528298131434,0.8967940331521519,1.7196864591052374,0.9003889213845191,1.723028884824619,0.914506510892053,1.7814993294356798,0.8493243702043864,1.8781769597096116,0.904189583757724
rc_hmm,0.8986864006126484,1.6940373101905721,0.8974234474821179,1.6702904345448226,0.9018358320762655,1.6871707197691748,0.9131475396535638,1.7587869424711429,0.848509540300129,1.8813700868787262,0.9050044136619814
rc_bins,0.899353228776761,1.7027563205025356,0.8968569745851486,1.6697345255271296,0.904216564561976,1.7107910569322027,0.9157032169080361,1.7846058623270353,0.850139200108644,1.8743243040170652,0.9060908535343247
