state_bin,coverage,upper_coverage,lower_coverage,n,mean_width
calm,0.89701432816764,0.950901186446012,0.946113141721628,222429,222429
normal,0.9048938419070488,0.9535551929727345,0.9513386489343144,97449,97449
elevated,0.9142428299054806,0.9548699849904669,0.9593728449150136,49302,49302
stress,0.8387994839410606,0.8916276227337543,0.9471718612073063,14727,14727
