state_bin,coverage,upper_coverage,lower_coverage,n,mean_width
calm,0.8991498410728817,0.9503976549820392,0.9487521860908424,222429,222429
normal,0.8996090262598898,0.9501893298032817,0.9494196964566081,97449,97449
elevated,0.9012413289521723,0.951381282706584,0.9498600462455884,49302,49302
stress,0.8626332586405921,0.9241529164120323,0.9384803422285598,14727,14727
