measure,k4,k1,diff,ci_lo,ci_hi,p_boot
rms,0.0033844789752654394,0.005386666502249461,-0.0020021875269840214,-0.00552415467021436,0.0021226724146767694,0.4404
max,0.017221315546725346,0.02531043780600295,-0.008089122259277604,-0.02992309265664542,0.013089695458255236,0.5208
