sector,r2
Real Estate,0.6947619409438927
Health Care,0.6881416705077361
Info Tech,0.6597748852046554
Industrials,0.48972365475067925
Materials,0.47879558082080675
Financials,0.3802794845980202
Consumer Disc,0.37565531200909796
Utilities,0.2617423829741148
Comm Services,0.2581698418618612
Index,0.20269339796468122
Energy,0.16736095897369285
