sector,r2
Consumer Disc,0.29700054787980645
Info Tech,0.29132727911035994
Materials,0.2552360285766455
Utilities,0.21640593281015053
Comm Services,0.1980442634985481
Industrials,0.1680950007947326
Financials,0.16189509167087324
Energy,0.1332605344246406
Health Care,0.11898239225235263
Consumer Staples,0.0863890146748314
Real Estate,-0.0024118194987277075
