Model,Mean_R2,Std_R2,Min_R2,Max_R2,Folds_positive,RMSE_avg
RIVE,0.19390569460329496,0.09937600709548403,-0.0905106561888127,0.314565197476779,11,1.1429609060985155
Monolithic LightGBM,0.09049354285599882,0.5620068905986058,-1.6486892614505573,0.4015448178883032,10,1.1467648496471354
Elastic Net,0.1518185244209114,0.16802368408059284,-0.3498446750333408,0.2762382485033479,11,1.1529816221440872
